id,usuario_id,cliente_id,fecha_creacion,subtotal,total,estado,pdf_url,fecha_vencimiento,created_at,updated_at,deleted_at,descargo_pdf,total_visitas_historial
PRP-001,USR-001,CLI-001,2026-06-01,21000,21000,Guardado,https://storage.app/pdf/p1.pdf,2026-06-15,2026-06-01 10:00:00,2026-06-01 10:00:00,,1,6
PRP-002,USR-001,CLI-002,2026-06-02,2500,2500,Borrador,,2026-06-17,2026-06-02 15:20:00,2026-06-02 15:20:00,,1,6
PRP-003,USR-001,CLI-003,2026-06-03,32200,32200,Guardado,https://storage.app/pdf/p3.pdf,2026-06-18,2026-06-03 11:45:00,2026-06-03 11:45:00,,1,6
PRP-004,USR-001,CLI-004,2026-06-04,12500,12500,Guardado,https://storage.app/pdf/p4.pdf,2026-06-19,2026-06-04 9:00:00,2026-06-04 9:00:00,,1,6
PRP-005,USR-002,CLI-005,2026-06-02,55000,55000,Guardado,https://storage.app/pdf/p5.pdf,2026-06-16,2026-06-02 10:30:00,2026-06-02 10:30:00,,1,5
PRP-006,USR-002,CLI-006,2026-06-03,4200,4200,Borrador,,2026-06-18,2026-06-03 14:10:00,2026-06-03 14:10:00,,1,5
PRP-007,USR-002,CLI-007,2026-06-05,106400,106400,Guardado,https://storage.app/pdf/p7.pdf,2026-06-20,2026-06-05 11:00:00,2026-06-05 11:00:00,,1,5
PRP-008,USR-003,CLI-008,2026-06-04,41000,41000,Guardado,https://storage.app/pdf/p8.pdf,2026-06-19,2026-06-04 16:20:00,2026-06-04 16:20:00,,0,5
PRP-009,USR-003,CLI-009,2026-06-05,32000,32000,Borrador,,2026-06-20,2026-06-05 10:15:00,2026-06-05 10:15:00,,1,5
PRP-010,USR-003,CLI-010,2026-06-06,60500,60500,Guardado,https://storage.app/pdf/p10.pdf,2026-06-21,2026-06-06 13:00:00,2026-06-06 13:00:00,,1,5
PRP-011,USR-004,CLI-011,2026-06-05,85000,85000,Guardado,https://storage.app/pdf/p11.pdf,2026-06-25,2026-06-05 9:45:00,2026-06-05 9:45:00,,1,5
PRP-012,USR-004,CLI-012,2026-06-06,120000,120000,Guardado,https://storage.app/pdf/p12.pdf,2026-06-26,2026-06-06 11:30:00,2026-06-06 11:30:00,,0,5
PRP-013,USR-004,CLI-013,2026-06-07,30000,30000,Borrador,,2026-06-27,2026-06-07 14:00:00,2026-06-07 14:00:00,,1,5
PRP-014,USR-005,CLI-014,2026-06-06,73000,73000,Guardado,https://storage.app/pdf/p14.pdf,2026-06-20,2026-06-06 10:00:00,2026-06-06 10:00:00,,1,5
PRP-015,USR-005,CLI-015,2026-06-07,11200,11200,Borrador,,2026-06-22,2026-06-07 12:15:00,2026-06-07 12:15:00,,1,5
PRP-016,USR-005,CLI-016,2026-06-08,125900,125900,Guardado,https://storage.app/pdf/p16.pdf,2026-06-23,2026-06-08 15:30:00,2026-06-08 15:30:00,,1,5
PRP-017,USR-001,CLI-017,2026-06-07,14400,14400,Guardado,https://storage.app/pdf/p17.pdf,2026-06-22,2026-06-07 11:00:00,2026-06-07 11:00:00,,1,6
PRP-018,USR-002,CLI-018,2026-06-08,33400,33400,Guardado,https://storage.app/pdf/p18.pdf,2026-06-23,2026-06-08 9:30:00,2026-06-08 9:30:00,,0,5
PRP-019,USR-003,CLI-019,2026-06-09,41000,41000,Guardado,https://storage.app/pdf/p19.pdf,2026-06-24,2026-06-09 14:15:00,2026-06-09 14:15:00,,1,5
PRP-020,USR-004,CLI-020,2026-06-10,235000,235000,Guardado,https://storage.app/pdf/p20.pdf,2026-06-30,2026-06-10 10:45:00,2026-06-10 10:45:00,,1,5
